detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
KS,CO2_percent_in_off_gas::batch_95.0_selfsplit,0,1,FP,0.442125,0.237,50.7
ADWIN,CO2_percent_in_off_gas::batch_95.0_selfsplit,0,1,FP,,0.832,9.3
PageHinkley,CO2_percent_in_off_gas::batch_95.0_selfsplit,0,0,TN,,0.979,0.8
HDDM-A,CO2_percent_in_off_gas::batch_95.0_selfsplit,0,0,TN,,0.402,9.3
PSI,CO2_percent_in_off_gas::batch_96.0_selfsplit,0,1,FP,7.18288,0.334,8.5
KS,CO2_percent_in_off_gas::batch_96.0_selfsplit,0,1,FP,0.467826,0.211,55.1
ADWIN,CO2_percent_in_off_gas::batch_96.0_selfsplit,0,1,FP,,0.972,13.6
PageHinkley,CO2_percent_in_off_gas::batch_96.0_selfsplit,0,0,TN,,1.609,0.8
HDDM-A,CO2_percent_in_off_gas::batch_96.0_selfsplit,0,0,TN,,3.128,10.1
PSI,CO2_percent_in_off_gas::batch_97.0_selfsplit,0,1,FP,9.08682,0.290,8.4
KS,CO2_percent_in_off_gas::batch_97.0_selfsplit,0,1,FP,0.61783,0.136,54.0
ADWIN,CO2_percent_in_off_gas::batch_97.0_selfsplit,0,1,FP,,0.629,13.7
PageHinkley,CO2_percent_in_off_gas::batch_97.0_selfsplit,0,0,TN,,0.756,0.8
HDDM-A,CO2_percent_in_off_gas::batch_97.0_selfsplit,0,0,TN,,4.170,9.9
PSI,CO2_percent_in_off_gas::batch_98.0_selfsplit,0,1,FP,9.41587,0.408,8.5
KS,CO2_percent_in_off_gas::batch_98.0_selfsplit,0,1,FP,0.492174,0.224,55.1
ADWIN,CO2_percent_in_off_gas::batch_98.0_selfsplit,0,1,FP,,0.604,13.8
PageHinkley,CO2_percent_in_off_gas::batch_98.0_selfsplit,0,0,TN,,0.687,0.8
HDDM-A,CO2_percent_in_off_gas::batch_98.0_selfsplit,0,0,TN,,2.210,10.1
PSI,CO2_percent_in_off_gas::batch_99.0_selfsplit,0,1,FP,5.83294,0.409,8.9
KS,CO2_percent_in_off_gas::batch_99.0_selfsplit,0,1,FP,0.499286,0.141,60.1
ADWIN,CO2_percent_in_off_gas::batch_99.0_selfsplit,0,1,FP,,0.630,9.0
PageHinkley,CO2_percent_in_off_gas::batch_99.0_selfsplit,0,0,TN,,0.742,0.8
HDDM-A,CO2_percent_in_off_gas::batch_99.0_selfsplit,0,0,TN,,0.439,10.9
