detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
KDQ-Tree,multivariate::batch_95.0_selfsplit,0,1,FP,1,122.298,32777.0
MMD-default,multivariate::batch_96.0_selfsplit,0,0,TN,0.00348043,7.664,12924.7
MMD-median,multivariate::batch_96.0_selfsplit,0,1,FP,0.412443,20.054,29394.5
PCA-CD,multivariate::batch_96.0_selfsplit,0,1,FP,6.04894e+08,0.959,105.4
KDQ-Tree,multivariate::batch_96.0_selfsplit,0,1,FP,1,133.685,38923.3
MMD-default,multivariate::batch_97.0_selfsplit,0,0,TN,0.00355841,8.062,12369.1
MMD-median,multivariate::batch_97.0_selfsplit,0,1,FP,0.399767,17.502,29394.5
PCA-CD,multivariate::batch_97.0_selfsplit,0,1,FP,8.53498e+08,0.483,103.3
KDQ-Tree,multivariate::batch_97.0_selfsplit,0,1,FP,1,144.784,37254.5
MMD-default,multivariate::batch_98.0_selfsplit,0,0,TN,0.00348066,7.902,12924.7
MMD-median,multivariate::batch_98.0_selfsplit,0,1,FP,0.450367,18.778,29394.5
PCA-CD,multivariate::batch_98.0_selfsplit,0,1,FP,8.2492e+08,0.495,105.4
KDQ-Tree,multivariate::batch_98.0_selfsplit,0,1,FP,1,132.635,38923.3
MMD-default,multivariate::batch_99.0_selfsplit,0,0,TN,0.00318787,11.098,15391.6
MMD-median,multivariate::batch_99.0_selfsplit,0,1,FP,0.313956,18.922,29394.5
PCA-CD,multivariate::batch_99.0_selfsplit,0,1,FP,1.04479e+08,0.511,114.9
KDQ-Tree,multivariate::batch_99.0_selfsplit,0,1,FP,1,163.857,46331.6
